Hsp60C CG31740 1.0 58
l(2)k09022 kz 0.94933707 119
kz Nop56 0.9493307 119
nop5 kz 0.9493283 119
nop5 CG4554 0.94932073 119
kz CG9799 0.949317 119
CG12325 kz 0.9493017 119
kz wcd 0.9493001 119
kz CG13097 0.9492797 119
dbe CG13096 0.9492715 119
CG4554 CG8064 0.94926584 119
U3-55K CG13096 0.9492539 119
kz CG5589 0.9492502 117
CG5589 Sas10 0.9492364 117
CG3071 CG3735 0.9492175 119
CG2875 kz 0.94920677 119
kz CG7246 0.9491743 119
U3-55K l(1)G0020 0.9491711 119
CG4554 l(3)07882 0.9491066 119
CG4554 CG2875 0.9491035 119
CG2260 kz 0.9491013 119
CG4554 Fib 0.9490951 117
l(1)G0004 CG13096 0.9490904 119
dbe Dbp45A 0.94904613 117
dbe Fib 0.94902956 117
CG4554 CG3527 0.9490263 117
dbe CG5589 0.94902605 117
CG3735 CG9253 0.9490091 117
CG3735 l(2)k09022 0.9489963 119
l(1)G0004 CG9253 0.94897646 117
CG30349 CG3735 0.94897276 119
l(1)G0004 Dbp45A 0.9489457 117
CG4554 CG13097 0.9489177 119
CG4554 CG7728 0.9488779 119
CG3735 Dbp45A 0.9488777 117
CG4554 CG9799 0.9488546 119
CG4554 CG1671 0.9488325 119
kz CG9253 0.9488302 117
CG5589 CG7275 0.94882494 117
CG4554 l(3)72Dn 0.9488099 119
Sas10 CG9253 0.94880605 117
Dbp45A Sas10 0.94880587 117
l(1)G0004 Fib 0.94878805 117
CG4866 CG5589 0.94874793 117
CG4554 CG7338 0.9487176 119
kz Dbp45A 0.948685 117
dbe CG9253 0.94865775 117
dbe CG3527 0.9486175 117
Dbp45A CG7275 0.94853264 117
l(1)G0004 CG3527 0.9485184 117
CG4866 CG9253 0.9483569 117
CG7275 CG9253 0.9483492 117
CG4866 Dbp45A 0.9482598 117
kz CG2972 0.94808096 117
CG4554 l(1)G0020 0.9478605 119
CG33506 bys 0.94783074 119
CG33506 CG30349 0.9475803 119
CG33506 CG5728 0.94726354 119
CG33506 CG8064 0.94692767 119
CG33506 CG12301 0.94690055 119
CG33506 CG7728 0.9468674 119
CG33506 CG9799 0.94684607 119
CG33506 CG13097 0.9468375 119
nop5 CG33506 0.94680595 119
CG33506 Nop56 0.9468007 119
CG33506 l(3)07882 0.9467936 119
CG2260 CG33506 0.9467779 119
CG33506 CG12325 0.94677484 119
CG33506 l(2)k09022 0.94673383 119
CG33506 wcd 0.94671816 119
CG33506 CG1671 0.9466772 119
CG33506 CG11920 0.9466528 119
CG33506 l(3)72Dn 0.9466444 119
CG33506 CG2875 0.94662005 119
CG33506 CG12050 0.94658697 119
CG33506 CG7246 0.94648796 119
CG33506 CG13096 0.9464184 119
CG33506 CG3071 0.94639504 119
CG33506 l(1)G0020 0.9460053 119
CG5033 l(2)34Fd 0.9455145 111
RpS13 RpS8 0.94514024 103
RpS8 RpS16 0.94484854 103
CG4554 CG33506 0.9388734 118
CG2127 CG31948 0.93855685 62
CG9107 CG3527 0.93806916 114
CG17377 CG31948 0.9380007 62
CG11920 Fib 0.93774956 118
CG2127 CG15219 0.93751097 62
CG13245 S-Lap4 0.93750703 62
dbe Mat89Ba 0.93742144 120
CG5089 CG9920 0.93741447 62
Mat89Ba Sas10 0.9374093 120
CG11920 CG3527 0.93740755 118
CG11920 Rtc1 0.9373884 118
CG5089 CG14926 0.9373753 62
CG7275 Mat89Ba 0.93730515 120
CG4554 U3-55K 0.93728805 118
U3-55K Sas10 0.93728364 118
l(1)G0004 Mat89Ba 0.9371868 120
CG17377 Mst77F 0.93716586 62
CG18662 CG31948 0.93715674 62
U3-55K Mat89Ba 0.93714815 120
U3-55K dbe 0.9370808 118
CG4691 CG15219 0.9370416 62
CG5589 CG7338 0.9370096 118
CG4866 Mat89Ba 0.9370012 120
U3-55K l(1)G0004 0.93695897 118
CG13245 CG14926 0.9368518 62
CG31948 CG9920 0.93683463 62
U3-55K CG7275 0.9368318 118
CG2972 CG13096 0.9368182 118
CG8701 CG9920 0.9367471 62
CG2972 CG9253 0.93673164 116
CG11920 CG5589 0.93658286 118
Mst98Ca CG17377 0.936581 62
CG4866 U3-55K 0.93656397 118
CG8701 CG18662 0.9364613 62
Dbp45A CG7338 0.93645406 118
ocn S-Lap4 0.9364442 62
CG31948 CG15219 0.93642765 62
CG4691 ocn 0.93641704 62
CG18662 CG4691 0.9363194 62
Mst98Ca ocn 0.93627596 62
kz Mat89Ba 0.9362605 120
U3-55K CG3735 0.9362434 118
S-Lap7 CG12699 0.9362291 62
CG9253 CG7338 0.9362202 118
Mst98Ca CG18662 0.9361848 62
CG11920 CG9253 0.9361158 118
Dbp45A CG2972 0.9360784 116
CG11920 Dbp45A 0.9360683 118
Rtc1 CG3527 0.9360447 116
CG3735 Mat89Ba 0.936026 120
CG5089 ocn 0.93600845 62
loopin-1 CG12699 0.9359965 62
CG18662 Mst77F 0.93598104 62
CG13245 Mst77F 0.93596476 62
CG5589 CG2972 0.9359297 116
CG10252 CG12699 0.93586653 62
CG8701 CG14926 0.9358573 62
Rtc1 CG9253 0.9358457 116
CG18662 CG2127 0.9357383 62
CG33340 CG12699 0.93572146 62
CG13245 CG15219 0.9357092 62
loopin-1 CG10252 0.93570703 62
CG17377 CG18662 0.9357 62
S-Lap8 CG12699 0.9356052 62
Rtc1 bys 0.9355991 118
Mst98Ca CG1394 0.9355887 62
Rtc1 CG2972 0.9355837 116
CG4554 Mat89Ba 0.93556726 120
CG10252 S-Lap4 0.9355528 62
CG1394 CG13245 0.93553734 62
CG9253 Fib 0.9355129 116
Dbp45A Fib 0.935461 116
CG10252 CG33340 0.9354355 62
CG1394 CG4691 0.9354333 62
CG33340 S-Lap4 0.9353948 62
Rtc1 CG13097 0.9353718 118
S-Lap7 CG33340 0.93533754 62
S-Lap8 CG10252 0.93533057 62
S-Lap7 ocn 0.9353103 62
CG8701 loopin-1 0.93529606 62
CG2260 Fib 0.93526363 118
Rtc1 CG12301 0.9352403 118
S-Lap8 S-Lap7 0.9352268 62
CG2260 Rtc1 0.93520206 118
loopin-1 CG9920 0.9351905 62
S-Lap8 CG33340 0.93517864 62
CG9920 CG14926 0.93516546 62
loopin-1 S-Lap7 0.93516254 62
CG13245 CG33340 0.93515617 62
CG8701 ocn 0.9351466 62
Rtc1 CG2875 0.9351443 118
wcd Fib 0.9350742 118
CG8701 S-Lap7 0.935074 62
CG33340 ocn 0.9350707 62
CG5589 Fib 0.9350693 116
CG5589 bys 0.9350616 118
S-Lap8 CG13245 0.9350515 62
CG1394 ocn 0.9350448 62
CG9920 CG4691 0.9350339 62
CG17377 S-Lap8 0.93500924 62
loopin-1 CG15219 0.93500674 62
CG8701 CG12699 0.9349958 62
CG17377 CG15219 0.93499184 62
loopin-1 CG14926 0.93498665 62
Rtc1 CG1671 0.9349849 118
CG15219 S-Lap4 0.9349784 62
CG9920 S-Lap7 0.93496555 62
CG9920 CG10252 0.9349387 62
CG2260 CG3527 0.9349361 118
loopin-1 CG4691 0.93493587 62
CG31948 CG12699 0.9349036 62
